id,file,client_receipt_id,snapshot_url_1,handle_id,retailer_name,store_phone,purchase_date,purchase_time,purchase_total,num_items_with_total,summed_net_total,receipt_item_code,receipt_item_description,receipt_item_price,receipt_item_quantity,quantity_type,identified_product_upc,identified_product_description,identified_product_brand,product_category,essence_in_item,essence,match_ratio_to_item_tokens,product_confidence,product_retailer,type
,"out_of_home2","OOHReceipt_20200124_182758","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200124_182758_1.jpg","4d0a8b43-b81d-42c9-aa27-76978b745503",,"03392250540","2020-01-24","18:26:16",,,,,,,,,,,,,,,,,,"Item"
,"out_of_home2","OOHReceipt_20200124_203317","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200124_203317_1.jpg","2f3e09f8-11e7-44d7-947a-7dc33377c6f7",,,,,,,,,,,,,,,,,,,,,,"Item"
,"out_of_home2","OOHReceipt_20200124_094925","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200124_094925_1.jpg","cf2a2c60-ce6a-4be6-8dff-79c4082149c4","REWE","091120297242","2020-01-24",,,,,,,,,,,,,,,,,,,"Item"
,"out_of_home2","OOHReceipt_20200124_203030","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200124_203030_1.jpg","b2b60530-4bf4-465a-a875-7e175f52efea",,,,,,,,,,,,,,,,,,,,,,"Item"
,"out_of_home2","OOHReceipt_20200122_141354","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200122_141354_1.jpg","e15db52e-1e1f-4fe0-a4aa-a80c889d828d","REWE",,"2020-01-22","12:14:59","1.50",,,,,,,,,,,,,,,,,"Item"
,"out_of_home2","OOHReceipt_20200121_152314","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200121_152314_1.jpg","0e951d19-a900-47a2-a0a0-838ddb4a27d1",,,,,,,,,,,,,,,,,,,,,,"Item"
,"out_of_home2","OOHReceipt_20200120_204540","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200120_204540_1.jpg","61cb5181-b6bd-4256-a6d5-9fa8440e77aa",,,"2020-01-15","12:34:57",,,,,,,,,,,,,,,,,,"Item"
,"out_of_home2","OOHReceipt_20200122_124014","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200122_124014_1.jpg","0b016e55-f6f8-4402-a75e-fc01336d4578",,,"2020-01-22","12:10:00","3.15",,,,,,,,,,,,,,,,,"Item"
,"out_of_home2","OOHReceipt_20200122_172725","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200122_172725_1.jpg","ced290a7-8345-47e5-9973-4510d9c5e0d8",,"08978581726","2020-01-14","14:29:40",,,,,,,,,,,,,,,,,,"Item"
,"out_of_home2","OOHReceipt_20200120_154655","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200120_154655_1.jpg","e224a21c-e372-4e2b-9b9f-40b52a157f3e",,,,,,,,,,,,,,,,,,,,,,"Item"
,"out_of_home2","OOHReceipt_20200123_142652","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200123_142652_1.jpg","53ed9958-fb0e-4c47-b27a-9b4ec8d7ed28",,,,,,,,,,,,,,,,,,,,,,"Item"
,"out_of_home2","OOHReceipt_20200120_145552","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200120_145552_1.jpg","c4b90308-5dec-48b3-b4e2-3293eab2e1ed",,,,,,,,,,,,,,,,,,,,,,"Item"
,"out_of_home2","OOHReceipt_20200117_122450","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200117_122450_1.jpg","3df04023-cbf4-40de-94c8-83aba1be349d",,,"2020-01-17","12:23:00",,,,,,,,,,,,,,,,,,"Item"
,"out_of_home2","OOHReceipt_20200127_085258","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200127_085258_1.jpg","c1293654-8d25-43c1-a7e9-35a29054dd80",,"022339792764","2020-01-25","17:54:00","4.80",,,,,,,,,,,,,,,,,"Item"
,"out_of_home2","OOHReceipt_20200121_154738","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200121_154738_1.jpg","0c0c140b-11ff-44ce-8b0d-67c0d4b96e91",,,,,,,,,,,,,,,,,,,,,,"Item"
,"out_of_home2","OOHReceipt_20200120_155759","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200120_155759_1.jpg","f6bf3805-c106-4100-be4d-9aa324d4f554",,,,,,,,,,,,,,,,,,,,,,"Item"
,"out_of_home2","OOHReceipt_20200122_174533","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200122_174533_1.jpg","f2065b2a-bb05-49dd-85ab-a6f7ca341764",,,"2020-01-22","12:12:00",,,,,,,,,,,,,,,,,,"Item"
,"out_of_home2","OOHReceipt_20200117_213106","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200117_213106_1.jpg","bf17c7d0-102b-4f18-846f-ce1e04b2cd17",,,,,,,,,,,,,,,,,,,,,,"Item"
,"out_of_home2","OOHReceipt_20200117_113256","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200117_113256_1.jpg","1e519903-5fc4-4156-8d03-9504959a8736",,,,,,,,,,,,,,,,,,,,,,"Item"
